name,type,currency,amount,avg_price,quantity,pnl_actual,note,since
CEG,stock,USD,143.58,278.9532,0.8962,-3.09,Importado [quantfury],
GLD,stock,USD,34.45,409.23,0.1466,2.68,Importado [quantfury],
JNJ,stock,USD,28.71,244.21,0.2047,-0.68,Importado [quantfury],
KTOS,stock,USD,57.43,73.92,1.3528,0.32,Importado [quantfury],
MELI,stock,USD,57.47,1710.48,0.0585,-0.07,Importado [quantfury],
MRNA,stock,USD,57.43,50.0599,1.9977,-2.56,Importado [quantfury],
MSFT,stock,USD,63.19,371.555,0.2961,0.33,Importado [quantfury],
SMCI,stock,USD,74.66,22.18,5.8611,-0.64,Importado [quantfury],
VXJ6,future,USD,13.84,24.1,1.0,-1.45,Importado [quantfury],
