symbol,asset_type,net_qty,total_pxq,notional,weight,amount
ABT,stock,0.9729,100.004391,100.004391,0.0846784188270092,46.23
CEG,stock,0.32260000000000005,417.664013,417.664013,0.35365575319371145,193.07
JNJ,stock,0.2047,49.989787,49.989787,0.04232870255326069,23.11
KTOS,stock,1.3528,99.998976,99.998976,0.084673833691963,46.23
MELI,stock,0.035100000000000006,142.10586,142.10586,0.12032771171870178,65.69
MRNA,stock,1.1987,141.209068,141.209068,0.1195683557762541,65.28
MSFT,stock,0.29610000000000003,110.017442,110.017442,0.0931569397982954,50.86
PINS,stock,6.7265,120.00076,120.00076,0.10161028444080433,55.47
